Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196704,   6.4431,   3.7196,   3.2724,   4.4734,   3.6898,   3.1958,   3.9127,   5.5023,   3.6959,   3.5061,   5.6881,   4.3353,   3.2800,   5.5659,   3.0172,   6.6976,   2.8535,   3.8855,   3.9220,   2.8657,   6.8866,   2.9044,   0.1300,   3.5468,   1.7638
196705,  -0.1299,   0.5808,  -0.6977,  -0.7294,  -0.8446,  -1.2794,   0.6683,  -0.2278,  -2.3297,  -3.5114,  -3.0391,  -1.8636,  -1.7251,  -0.3469,  -2.0050,  -2.2083,  -0.3998,  -2.9104,  -0.1939,  -0.7558,  -5.6526,  -4.1453,  -4.2161,  -3.7030,  -3.6596
196706,  15.5732,   9.9558,  13.0252,  12.6784,   9.9404,  10.2417,   6.8225,   6.3161,   8.2315,   6.7240,   5.3546,   8.3023,   3.9212,   5.1617,   3.4932,   3.1733,   2.2519,   2.8653,   7.6083,   6.0614,   1.4221,   0.3953,   1.6790,   2.8988,   3.0943
196707,   9.1765,   9.3650,  10.2666,   7.7417,  11.8567,   7.1811,   6.0662,   9.2093,   9.4111,   8.5014,   5.3805,   4.9243,   6.1217,   8.0934,  11.6855,   4.7261,   4.5332,   5.1559,   6.2056,   9.0224,   4.4482,   5.7583,   2.0427,   5.8685,   6.4583
196708,  -0.8750,   0.5369,   0.7694,   0.0389,   2.0620,  -0.9821,  -1.3197,   0.6278,   0.5057,   0.9706,  -3.0349,   1.0770,   1.3743,   1.0660,  -0.6346,  -0.8771,  -1.0114,  -0.8402,   1.9760,   3.7970,  -0.5794,  -1.1033,  -1.3424,   0.4557,   1.3380
196709,  11.3926,  10.0847,   8.4796,   7.5868,   4.9159,   4.9964,   6.0629,   7.5201,   5.5241,   3.2675,   5.6610,   2.1286,   2.7545,   4.4461,   2.4139,   3.7247,   1.5905,   2.1562,   3.9637,   0.4076,   3.8175,   3.1142,   3.2904,   1.6223,   0.2472
196710,   1.7852,  -4.1764,  -1.3730,  -1.4764,  -2.6416,  -1.5185,  -2.0838,   0.7146,  -3.0610,  -4.8142,  -3.5044,  -1.0688,  -3.2366,  -2.0856,  -2.5936,  -4.1379,  -5.7784,  -5.3287,  -3.0538,  -5.2857,  -0.3536,  -3.9701,  -2.7573,  -6.1454,  -6.5113
196711,  -0.8692,   3.8550,  -0.8891,  -1.5607,  -1.1357,   0.9677,   0.5316,   2.8140,  -0.0186,   0.2622,   2.6918,   0.3748,   0.8712,  -0.5611,  -0.8173,   3.0943,   0.5863,  -0.5202,   0.7974,  -0.6812,   1.3221,   0.4516,   0.0139,  -0.5451,   0.0559
196712,  13.7245,  10.5455,   7.9438,   9.4928,  10.1296,  11.9344,   6.6368,   9.5939,   7.3106,   9.4519,   7.7035,   5.6467,   6.0346,   5.4756,   6.8222,   1.3490,   2.7933,   4.7058,   4.5275,   3.7090,   1.9549,   3.1163,   2.1778,   5.5944,   2.7927
196801,   2.5966,   2.1626,   2.9946,   3.3117,   6.0575,  -3.9949,  -2.4846,   0.0688,   1.1395,   1.9235,  -6.8746,  -0.5567,  -1.1940,  -0.9238,   3.5963,  -8.0269,   0.0868,  -2.7123,   0.2170,  -0.4250,  -6.3400,  -5.7036,   0.5901,  -2.2794,  -3.8550
196802,  -9.9556,  -6.9762,  -5.8988,  -6.9034,  -5.6418,  -7.4674,  -5.5880,  -8.8646,  -3.5935,  -5.6863,  -6.9043,  -4.0040,  -2.9974,  -2.4537,  -4.4954,  -5.3871,  -3.6666,  -2.7500,  -5.1517,  -3.8256,  -2.9776,  -2.3459,  -1.9978,  -3.2545,  -1.8996
196803,  -1.6737,  -0.0147,  -0.3978,  -2.0765,  -0.0933,  -0.8733,  -1.5147,   0.3343,  -1.2807,  -0.2635,   1.9985,  -0.9002,  -1.9981,   0.8624,  -0.7083,   0.6360,  -0.2549,  -1.3633,   0.5348,  -0.2883,   3.0690,  -1.2884,  -0.2764,  -1.7868,   2.0264
196804,  21.4422,  17.6579,  16.8698,  16.2619,  15.8675,  18.7842,  13.1622,  17.3675,  11.9895,  12.9147,  16.1637,  11.3039,   8.3909,  10.2258,  17.9284,  12.6769,   7.3163,   8.4456,  12.7905,  11.6528,  10.7849,   7.3369,   3.3888,   9.4085,  10.5079
196805,  10.6816,  12.5592,  10.6352,  11.8187,  11.7851,  11.5443,   8.2647,   8.3908,   7.3113,   6.7495,   8.7985,   4.1029,   5.3473,   4.7753,   7.2149,   4.4729,   4.6606,   2.9012,   2.7741,   6.1608,   2.2905,   1.1136,  -0.6699,  -0.9839,   4.6471
196806,  -1.1390,   0.2348,   1.4049,   2.1588,   0.1143,  -0.5903,   1.5706,  -1.7141,   1.7963,   1.1131,  -2.0214,   2.9754,   3.2657,   1.7259,   0.8588,   0.0303,   3.8596,   3.8827,   2.9536,  -2.1339,  -0.0777,   0.8762,   4.0204,   3.1761,  -1.5962
196807,  -4.7582,  -4.6993,  -3.9231,  -0.7681,   0.7263,  -8.9916,  -2.9308,  -2.8361,  -0.4113,  -0.2864,  -5.5866,  -4.6131,  -3.3892,  -0.8742,  -0.1877,  -5.6543,  -3.3939,  -4.1637,  -1.4979,  -2.1205,  -5.2069,  -1.2600,   2.9404,   0.9438,   1.0380
196808,   4.5121,   5.8795,   4.8623,   4.3360,   4.7619,   1.7298,   2.9254,   3.6507,   1.1608,   7.0846,   2.9053,   3.1520,   2.6773,   2.8084,   4.9590,   1.6937,   1.3500,   2.0213,   2.0435,   2.9434,   1.1961,   0.3795,   2.1715,   1.6484,   2.8192
196809,   7.1012,   8.6014,   7.0408,   6.5308,   6.2510,   7.1948,   6.0743,   7.2009,   5.7537,   6.2715,   7.3969,   6.9420,   3.7783,   5.6468,   6.3787,   6.7915,   5.8127,   4.9185,   6.9162,   6.0704,   1.9491,   5.4091,   2.3952,   4.2392,   8.2914
196810,  -2.0290,   0.0772,   1.4062,   0.1149,   1.8474,  -0.3648,   0.9253,   1.6121,   2.5828,   0.9480,  -0.0045,   2.4224,   2.8829,   2.8157,   0.8152,   0.2382,   0.0005,   2.4880,   0.9927,   2.4205,  -1.7303,   2.0797,   2.0340,   3.7131,   1.1604
196811,   6.9511,   7.5733,   6.5035,   6.1254,   6.8890,   9.9700,   9.6189,   7.8074,   9.1267,   5.8823,   8.5344,   7.2637,   8.3538,   9.4062,   7.7339,   6.9571,   7.5265,   7.2400,   7.4015,   7.9678,   6.2672,   2.9670,   5.8107,   4.5271,   4.0898
196812,   3.8779,   2.4602,   0.7188,  -0.1211,   0.5841,   0.0849,   0.5974,  -1.6635,  -3.0897,  -3.5367,  -2.6156,  -4.0529,  -1.0108,   0.0130,  -2.8746,  -4.2861,  -4.1772,  -4.1354,  -1.5026,  -0.7089,  -5.2460,  -4.2176,  -3.2108,  -3.4979,  -3.0769
196901,  -0.4136,  -2.2335,  -1.8168,  -1.2996,  -1.3325,  -3.0270,  -0.7510,  -1.5857,   1.2431,   0.6382,  -3.5483,  -0.8200,   0.3273,  -2.0029,  -1.2081,  -2.0535,   0.3164,  -0.3021,  -0.1736,   1.0937,  -2.1638,  -0.3728,   0.7367,  -0.3723,   1.3852
196902, -12.4569, -10.5555,  -9.2511,  -8.8311,  -8.7400, -10.8432,  -8.4455,  -5.3171,  -6.7955,  -7.4439,  -9.0163,  -8.5577,  -6.7055,  -6.3906,  -5.7926,  -8.3058,  -7.0204,  -5.2824,  -7.2023,  -8.4324,  -3.2461,  -3.4719,  -4.8731,  -4.5961,  -6.1950
196903,   3.1526,   2.4528,   3.7826,   3.5847,   2.4219,   4.1856,   1.6967,   1.9859,   0.3412,   5.4086,   1.4669,   2.5683,   1.5191,   1.9773,   2.7419,   4.6439,  -2.0579,   2.4117,   1.4505,   3.3304,   4.2629,   2.6894,   4.0536,   2.0008,   4.7621
196904,   1.2610,  -0.7933,   1.7228,   1.6910,   0.0945,   1.8072,   1.0909,   0.9856,  -0.4831,   4.6764,   2.2748,   0.0529,   1.0719,   1.3110,   0.4834,   2.9765,   2.1081,   0.4955,  -0.3988,   1.8329,   3.7428,   0.9671,   1.0180,   3.0439,   0.7321
196905,   1.0362,   0.8531,   0.7669,   1.0799,   0.3609,  -1.5531,  -1.8784,  -0.9336,   0.1353,   0.4892,   0.1857,   0.7596,   2.0123,   0.8480,  -1.8921,  -0.2121,  -0.6801,   1.2795,   0.8917,  -1.8543,  -0.4712,   0.5391,   0.9240,   1.4768,   0.4455
196906, -14.5874, -12.9601, -13.7056, -12.5393, -12.1574, -12.2281, -11.3001,  -9.1597,  -9.9347, -10.9428, -10.3836,  -9.7359, -11.1312,  -9.8208,  -9.0532,  -6.9619,  -8.9092,  -7.1852,  -8.6764,  -8.4595,  -1.7940,  -6.4072,  -7.8507,  -6.6338,  -8.4543
196907, -13.0295, -11.6111, -10.5800, -10.2902,  -7.9217, -10.6747, -10.3243,  -8.4876,  -6.9401,  -8.0849, -10.0720, -10.4920,  -6.6973,  -5.8536,  -7.9228,  -6.5397,  -7.5897,  -6.2473,  -6.5712,  -7.7788,  -4.0889,  -5.7076,  -7.2336,  -7.4927,  -5.6386
196908,   5.2107,   4.8503,   4.7326,   3.0495,   2.7615,   7.3122,   6.5993,   4.0988,   3.0831,   3.2170,   9.6466,   8.8049,   7.3786,   2.9477,   5.5646,   9.5061,   6.0327,   3.9135,   4.1964,   2.4077,   7.0233,   4.7249,   3.9476,   4.3800,   1.9434
196909,  -2.8310,  -4.6396,  -5.5333,  -2.3962,  -3.4394,   1.7842,  -1.3997,  -1.8378,  -1.1141,  -1.4489,   0.6554,  -0.0988,  -2.3031,  -2.3971,  -3.5017,   0.3322,  -1.0684,  -2.2114,  -3.5004,  -3.6486,  -0.4755,  -2.2803,  -3.4655,  -5.0300,  -4.5888
196910,  13.9336,  12.9411,   9.0205,   8.1976,   6.3105,  10.8635,   9.0076,   6.7049,   6.3005,   7.0010,   8.9397,   7.4710,   7.7682,   9.2868,   6.7814,   8.9936,   5.8566,   8.2867,   6.3763,   4.9303,   5.9328,   5.5218,   4.3345,   2.0887,   3.7783
196911,  -8.5161,  -7.3665,  -5.6644,  -6.4527,  -7.3740,  -3.6138,  -5.3626,  -3.2978,  -5.7746,  -5.4258,  -4.4874,  -4.7690,  -6.3849,  -3.3784,  -5.5198,  -2.2545,  -3.8621,  -2.7317,  -5.7282,  -5.9751,  -1.4000,  -3.3582,  -3.6838,  -4.7550,  -1.9362
196912,  -8.1340,  -7.7212,  -4.8730,  -8.8957,  -8.6461,  -4.7301,  -6.1167,  -7.2314,  -6.4770,  -5.9203,  -2.3923,  -2.1081,  -3.9627,  -5.3659,  -4.9956,   0.6349,  -4.6607,  -1.8393,  -2.1182,  -3.9953,   0.9481,  -1.7492,  -1.2234,  -2.0910,  -5.2749
197001,  -4.9206,  -3.0891,  -4.0449,  -2.5643,   0.1002,  -6.9984,  -6.8390,  -2.0414,  -3.9204,  -2.5231,  -9.7033,  -6.8882,  -8.1524,  -3.7498,  -3.3460,  -7.6690, -11.3398,  -7.2413,  -6.6610,  -5.8709,  -8.4757,  -6.8760,  -9.1894,  -8.9153,  -4.2617
197002,   2.1820,   3.6141,   4.3177,   3.2273,   4.2920,   2.5981,   2.5180,   2.7737,   8.0625,   7.2068,   3.3147,   3.1067,   6.2512,   5.4960,   7.2760,   3.6232,   5.5197,   6.3028,   9.4332,   6.9019,   3.5366,   5.8542,   9.0681,   6.7138,   8.1532
197003,  -6.6663,  -5.0227,  -3.0748,   0.8671,  -1.3029,  -6.2355,  -1.8920,  -0.2967,  -0.0639,   0.3514,  -3.5763,  -1.5601,  -0.4734,   2.3518,   0.9753,  -4.2593,   0.2361,   1.8779,   0.1866,   2.3859,  -2.4251,   0.2261,   2.2559,   1.0704,   1.5906
197004, -23.8667, -19.1124, -15.0556, -13.0028, -12.0249, -22.6575, -17.1707, -14.9831, -10.6036, -11.3640, -19.8175, -15.3220, -12.9919,  -9.2313, -10.4521, -15.1495, -14.5709,  -9.6727,  -9.9261,  -9.2130, -10.5305,  -8.1926,  -8.5592,  -7.2285,  -7.9998
